id,destination_key_value,amount,timestamp,key,key_type,institution,branch,account_number,account_type,owner_type,owner_name,cnpj,company_name,registration_date,status,status_date,share_capital,branch_type,common_transfers_client,all_transfers
fa54238e-344b-499c-9d4d-b10c5879f84b,da-motajoao-felipe@example.net,72971.86,2021-05-09T08:42:01,da-motajoao-felipe@example.net,EMAIL,BANCO INTER S.A.,5638,79538212,CONTA_CORRENTE,PESSOA_JURIDICA,da Mota,92072156362197,da Mota,2012-08-16,INATIVO,2024-07-21,8739868.8,FILIAL,0,421
b0dc220e-bbfb-4172-8832-fd20e7aade99,11fca684-82a5-459a-8156-3c3fc7f3b0d2,38713.6,2023-07-25T09:51:46,11fca684-82a5-459a-8156-3c3fc7f3b0d2,EVP,BANCO DO BRASIL S.A.,7040,91682002,CONTA_POUPANCA,PESSOA_JURIDICA,Garcia,01551810840946,Garcia,2003-12-10,ATIVO,2024-07-28,3106406.11,MATRIZ,0,804
6f3e53ed-06ac-4623-80c7-ea8d0732878e,43556875663100,37765.24,2024-08-16T12:33:48,43556875663100,CNPJ,BANCO ORIGINAL S.A.,3670,96778630,CONTA_POUPANCA,PESSOA_JURIDICA,Sales Pinto e Filhos,43556875663100,Sales Pinto e Filhos,1983-01-21,ATIVO,2025-02-01,1913404.0,FILIAL,4,4
b2c3dfc8-7425-4338-b016-57bdf1536ade,a43252ff-b9a9-40ba-8384-4c6eca3a4ed3,16395.15,2024-10-11T22:03:48,a43252ff-b9a9-40ba-8384-4c6eca3a4ed3,EVP,BRADESCO S.A.,1903,77938841,CONTA_CORRENTE,PESSOA_JURIDICA,da Paz,71565462752813,da Paz,2016-06-12,ATIVO,2024-09-22,3875436.88,MATRIZ,0,528
074fd522-31be-447c-8425-44f5df80d09b,luigimoraes@example.com,16217.61,2023-03-30T00:38:41,luigimoraes@example.com,EMAIL,NUBANK,2541,66501213,CONTA_CORRENTE,PESSOA_JURIDICA,Lima e Filhos,28462532866469,Lima e Filhos,2017-02-23,ATIVO,2024-07-04,3638281.69,FILIAL,0,1185
833b95a1-da82-46f4-9d0c-a6820361b92b,06166636398376,36672.3,2021-12-10T17:39:24,06166636398376,CNPJ,BRADESCO S.A.,5332,70406777,CONTA_CORRENTE,PESSOA_JURIDICA,Rocha,06166636398376,Rocha,1980-02-07,ATIVO,2024-07-21,2104165.99,FILIAL,0,550
69deeac4-7257-477a-8da0-24e0efaf811e,420dee86-8f65-480d-b8a6-c32562dc6d52,62945.46,2025-04-26T04:31:04,420dee86-8f65-480d-b8a6-c32562dc6d52,EVP,CAIXA ECONÔMICA FEDERAL,9182,81991021,CONTA_CORRENTE,PESSOA_JURIDICA,Gomes e Filhos,77705443515536,Gomes e Filhos,2001-09-10,ATIVO,2025-03-01,2745229.19,MATRIZ,7,561
7bc15d6f-a3a8-4408-8cc0-710ed6428900,e5b3a3d0-2e55-45ca-b5a1-62d69473901d,28118.62,2023-12-03T23:48:51,e5b3a3d0-2e55-45ca-b5a1-62d69473901d,EVP,BANRISUL,6099,80698719,CONTA_CORRENTE,PESSOA_JURIDICA,Guerra,66588077514756,Guerra,1975-10-22,ATIVO,2024-08-18,5772481.51,MATRIZ,4,1055
22c51d3e-0020-4baf-ad83-8dceddb4aa76,05181673692,25109.16,2024-06-19T11:29:06,05181673692,PHONE,BANCO BTG PACTUAL S.A.,9275,34363580,CONTA_POUPANCA,PESSOA_JURIDICA,Gonçalves Barbosa e Filhos,52745277309830,Goncalves Barbosa e Filhos,1986-12-22,ATIVO,2024-10-12,1356771.16,FILIAL,6,27
13ca15c4-5ac3-4190-9994-64a894f23285,hellenada-rosa@example.com,5013.9,2021-03-28T19:44:46,hellenada-rosa@example.com,EMAIL,BANCO INTER S.A.,5032,80000659,CONTA_POUPANCA,PESSOA_JURIDICA,da Mota,37155730734809,da Mota,2017-06-15,ATIVO,2024-12-31,6289703.53,MATRIZ,0,35
